m,b
0,0
-0.085257074535476013,0.97449282112091351
-0.23398587294325021,0.020471111307751623
-0.2483554366766241,0.92687510801311546
-0.37681666729948476,0.10096772169748398
-0.38963062755793459,0.83556557724047309
-0.4858050769234038,0.22653462773996136
-0.49044128961535655,0.70042275018820344
-0.54236778615834291,0.37977001235018354
-0.54596182261048265,0.54596182261048254
-8.328622559528835,-47.233965704313775
-12.660815831961909,-10.623685895002705
-14.478253124243359,-25.077070016032323
-63.735129037270276,175.11082785592666
-76.693521984740059,13.523137171467495
-94.314928459131266,112.40015482643558
-126.53528611643902,-150.79888181920248
-149.17878016370901,-0.014917878016370902
-181.35790128698025,-66.008877817449005
-328.60003987386659,189.71732147689863
437.88436753411025,1203.0774121321363
211.53487547688641,122.12971729957432
76.389821182339674,-27.803621111289477
48.87567038161491,-41.011556990755373
45.592970994139812,-0.0045592970994139817
33.348881526543131,-57.761957179567823
23.116860995340357,4.0761263027656458
7.5022151709458962,-42.547176505845606
0.54177123581317854,0.54177123581317843
0.53924776288853349,0.37758534853727327
0.48809979444891449,0.69707874853345286
0.48195314299706399,0.22473844145140207
0.38402576740064137,0.82354591584466952
0.37475429343624672,0.10041511028633829
0.2470088880787438,0.92184972023096556
0.23316936691921122,0.020399676286947586
0.084968501441467087,0.97119441556322184
